match_id,Referee,Stadium,Home team,Away team
2019179,Mohamed Maarouf,Alexandria Stadium,Ittihad Alex,El Masry
2019180,Ahmed El Adawi,El Salam Stadium,Entag El Harby,Enppi SC
2019181,Mahmoud Nagy,El Shorta Stadium,Aswan SC,El Mokawloon
2019182,Mahmoud Ashour,Alexandria Stadium,Smouha,Pyramids FC
2019183,Amin Omar,Gehaz El Reyada Stadium,Talaea El Gaish,Tanta SC
2019184,Ahmed Gamal,Khaled Bichara Stadium,El Gouna,FC Masr
2019185,Mohamed Youssef,Borg El Arab Stadium,El Masry,El Makasa
2019186,Ivan Bebek,Cairo International Stadium,Zamalek,Ahly SC
2019187,Ibrahim Nour Eldin,El Max,Harras Hodoud,Ismaily
2019188,Mohamed Adel,Petrosport Stadium,Wadi Degla,Ittihad Alex
2019189,Ahmed Hamdi,Petrosport Stadium,Enppi SC,Aswan SC
2019190,Mohamed El Hanafy,30 June Stadium,Pyramids FC,Entag El Harby
2019191,Ahmed El Ghandour,Gehaz El Reyada Stadium,Talaea El Gaish,Smouha
2019192,Mahmoud Bassiouni,Borg El Arab Stadium,FC Masr,El Masry
2019193,Ibrahim Nour Eldin,Cairo International Stadium,Ahly SC,El Gouna
2019194,Mohamed Salama,Alexandria Stadium,Ittihad Alex,Harras Hodoud
2019195,Walid Abdelrazak,Arab Contractors Stadium,El Makasa,Wadi Degla
2019196,Tarek Magdi,Alexandria Stadium,Tanta SC,Ismaily
2019197,Mohamed Maarouf,Cairo International Stadium,El Mokawloon,Zamalek
2019198,Gehad Grisha,El Salam Stadium,Entag El Harby,Talaea El Gaish
2019199,Mahmoud Bassiouni,El Shorta Stadium,Aswan SC,Pyramids FC
2019200,Amin Omar,Borg El Arab Stadium,El Masry,Ahly SC
2019201,Mahmoud Nagy,Petrosport Stadium,Wadi Degla,FC Masr
2019202,Mohamed Maarouf,Alexandria Stadium,Smouha,Tanta SC
2019203,Said Hamza,Khaled Bichara Stadium,El Gouna,El Mokawloon
2019204,Mahmoud Ashour,Cairo International Stadium,Zamalek,Enppi SC
2019205,Mohamed Adel,El Max,Harras Hodoud,El Makasa
2019206,Mohamed Youssef,Ismailia Stadium,Ismaily,Ittihad Alex
2019207,Mahmoud El Banna,Cairo Military Academy Stadium,Talaea El Gaish,Aswan SC
2019208,Tarek Magdi,Petrosport Stadium,Enppi SC,El Gouna
2019209,Amin Omar,Alexandria Stadium,Smouha,Entag El Harby
2019210,Ahmed El Ghandour,Borg El Arab Stadium,Tanta SC,Ittihad Alex
2019211,Ahmed Hamdi,Cairo Military Academy Stadium,FC Masr,Harras Hodoud
2019212,Ahmed Gamal,Borg El Arab Stadium,El Mokawloon,El Masry
2019213,Mohamed El Hanafy,30 June Stadium,Pyramids FC,Zamalek
2019214,Ahmed El Adawi,Arab Contractors Stadium,El Makasa,Ismaily
2019215,Gehad Grisha,Cairo International Stadium,Ahly SC,Wadi Degla
2019216,Walid Abdelrazak,El Shorta Stadium,Aswan SC,Smouha
2019217,Ibrahim Nour Eldin,El Salam Stadium,Entag El Harby,Tanta SC
2019218,Mahmoud Nagy,Khaled Bichara Stadium,El Gouna,Pyramids FC
2019219,Mohamed Maarouf,Borg El Arab Stadium,El Masry,Enppi SC
2019220,Mohamed Adel,Cairo International Stadium,Zamalek,Talaea El Gaish
2019221,Mahmoud El Banna,Alexandria Stadium,Ittihad Alex,El Makasa
2019222,Tarek Magdi,Petrosport Stadium,Wadi Degla,El Mokawloon
2019223,Mohamed Salama,Ismailia Stadium,Ismaily,FC Masr
2019224,Ahmed El Ghandour,El Max,Harras Hodoud,Ahly SC
2019225,Ibrahim Nour Eldin,Borg El Arab Stadium,Pyramids FC,El Masry
2019226,Gehad Grisha,El Salam Stadium,Entag El Harby,Aswan SC
2019227,Mohamed Youssef,Arab Contractors Stadium,El Mokawloon,Harras Hodoud
2019228,Mahmoud El Banna,Borg El Arab Stadium,Smouha,Zamalek
2019229,Ahmed El Adawi,Cairo Military Academy Stadium,FC Masr,Ittihad Alex
2019230,Ahmed Hamdi,Tanta Stadium,Tanta SC,El Makasa
2019231,Mohamed El Hanafy,Gehaz El Reyada Stadium,Talaea El Gaish,El Gouna
2019232,Mahmoud Ashour,Borg El Arab Stadium,Ahly SC,Ismaily
